Food Category,Food Name,Stall Name,Price,Calories,Protein,Carbohydrates,Fat,Fiber,Sugar,Sodium,Egg-Free,Gluten Free,Dairy Free,Fish Free,Shellfish Free,Peanut free,Treenut Free,Soy Free,Wheat Free
Vegetable Dishes,Tortang Talong (Half Order),?,30,75,4,5,4,1,1.5,175,0,0,1,1,1,1,1,1,0
Vegetable Dishes,Ginataang Kalabasa at Sitaw (Half Order),?,30,100,2.5,9,6,1.5,2.5,200,1,1,1,0,0,1,1,1,1
Vegetable Dishes,Ginataang Langka (Half Order),?,30,90,2,10,5,2,2.5,175,1,1,1,0,0,1,1,1,1
Vegetable Dishes,Kilawing Puso ng Saging (Half Order),?,30,80,2,7.5,5,1.5,2,150,1,1,1,0,0,1,1,1,1
Vegetable Dishes,Chopseuy (Half Order),?,30,75,4,6,4,1.5,2,175,1,1,1,0,0,1,1,0,1
Vegetable Dishes,Vegetable Supreme (Half Order),?,30,60,2,5,3.5,1.5,1.5,125,1,1,1,1,1,1,1,1,1
Vegetable Dishes,Mixed Vegetables (Half Order),?,30,40,1.5,5,1.5,1.5,2,100,1,1,1,1,1,1,1,1,1
Chicken Dishes,Glazed Chicken,Chef Alde's,80,672,24.3,125,8.8,1.6,8.1,532,0,0,1,1,1,1,1,1,0
Chicken Dishes,Honey Garlic Chicken,Chef Alde's,90,674,37.3,94,20.4,1,15.1,609,0,0,1,1,1,1,1,1,0
Chicken Dishes,Chicken Cordon Bleu,Chef Alde's,100,606,34.3,55,29.4,1.6,2.1,1202,0,0,0,1,1,1,1,1,0
Chicken Dishes,Chicken Ala King,Chef Alde's,120,506,19.3,65,22.4,2.6,4.1,802,0,0,0,1,1,1,1,0,0
Chicken Dishes,Chicken Sisig,Chef Alde's,90,676,29.3,57,42.4,3.6,4.1,1002,0,0,1,1,1,1,1,1,0
Chicken Dishes,Spicy Chicken Wings,Chef Alde's,120,656,29.3,50,39.4,1.6,2.1,902,1,0,1,1,1,1,1,1,0
Chicken Dishes,Chicken Ala Max,Chef Alde's,150,526,34.3,50,22.4,0.6,1.1,752,1,0,1,1,1,1,1,1,0
Chicken Dishes,Chicken Inasal,Chef Alde's,120,456,32.3,45,18.4,0.6,1.1,502,1,1,1,1,1,1,1,1,1
Chicken Dishes,Sweet & Sour Chicken,Chef Alde's,130,586,24.3,90,14.4,3.6,20.1,852,1,0,1,1,1,1,1,0,0
Seafood Dishes,Fish Fillet w/ Tartar Sauce,Chef Alde's,100,616,26.3,75,24.4,2.6,4.1,902,1,0,0,0,1,1,1,0,0
Pork Dishes,Fried Pork Siomai,Chef Alde's,80,506,16.3,65,22.4,2.6,3.1,702,0,0,1,1,1,1,1,0,0
Pork Dishes,Tonkatsu,Chef Alde's,120,726,32.3,85,30.4,3.6,5.1,1202,0,0,1,1,1,1,1,0,0
Chicken Dishes,Korean Fried Chicken (Dakgangjeong),Chef Alde's,120,1036,35.3,133,53.4,7.6,31.1,4102,1,0,1,1,1,1,1,0,0
Chicken Dishes,Szechuan Chicken,Chef Alde's,120,506,29.3,63,19.4,2.6,6.1,1202,1,0,1,1,1,1,1,0,0
Mixed Dishes,Quesadilla,Chef Alde's,90,606,24.3,80,24.4,3.6,2.1,902,0,0,0,1,1,1,1,0,0
Seafood Dishes,Calamari,Chef Alde's,120,356,19.3,51,11.4,0.6,0.1,502,1,0,1,1,0,1,1,0,0
Pork Dishes,Pork Teriyaki,Chef Alde's,130,526,28.3,65,20.4,1.6,14.1,1002,1,0,1,1,1,1,1,0,0
Beef Dishes,Beef Bulgogi,Chef Alde's,120,516,19.3,94,10.4,3.6,14.1,742,1,0,1,1,1,1,1,0,0
Pork Dishes,Pork Bulgogi,Chef Alde's,120,491,26.3,56,21.4,1.6,10.1,702,1,0,1,1,1,1,1,0,0
Chicken Dishes,Chicken Bulgogi,Chef Alde's,100,481,31.3,55,16.4,1.6,9.1,682,1,0,1,1,1,1,1,0,0
Noodle Dishes,Stir-Fry Cheese Ramen,Chef Alde's,100,706,17.3,113,22.4,3.6,5.1,1202,0,0,0,1,1,1,1,0,0
Noodle Dishes,Cheesy Ramen Ramyeon,Chef Alde's,100,686,14.3,110,20.4,2.6,4.1,1152,0,0,0,1,1,1,1,0,0
Noodle Dishes,Spicy Cheesy Carbonara,Chef Alde's,100,970.5,32.3,141,33.4,5.6,8.1,752,0,0,0,1,1,1,1,0,0
Mixed Dishes,Rice Meal + Viand For the day,Chef Alde's,100,806,34.3,125,24.4,5.6,5.1,1202,1,1,1,1,1,1,1,1,1
Beef Dishes,Ultimate Beef,Chef Alde's,100,606,29.3,55,34.4,0.6,5.1,902,1,1,1,1,1,1,1,1,1
Chicken Dishes,Chicken Supreme,Chef Alde's,100,706,36.3,78,29.4,0.6,0.1,922,1,1,1,1,1,1,1,1,1
Chicken Dishes,Chicken Fillet,Chef Alde's,60,496,32.3,49,22.4,0.6,0.1,822,1,1,1,1,1,1,1,1,1
Chicken Dishes,Chicken Sisig,Chef Alde's,60,406,20.3,51,16.4,2.6,2.1,702,0,0,1,1,1,1,1,1,1
Chicken Dishes,"Rice Meal Chicken Wings (Honey Sriracha, Gravy, Buffalo, Honey Butter, Yangnyeum, Soy Garlic)",Dream Café,90,656,29.3,85,24.4,3.6,15.1,1202,1,1,1,1,1,1,1,1,1
Pork Dishes,Hungarian Sausage,Dream Café,90,546,18.3,49,34.4,1.6,2.1,852,1,1,1,1,1,1,1,1,1
Chicken Dishes,Crispy Fried Chicken,Emilla's,85,576,28.3,53,32.4,1.6,0.1,772,0,0,1,1,1,1,1,1,1
Beef Dishes,Burger Steak,Emilla's,65,526,24.3,55,28.4,1.6,2.1,752,1,1,1,1,1,1,1,1,1
Pork Dishes,Lupiang Shanghai,Emilla's,65,326,10.3,59,9.4,1.6,2.1,302,0,0,1,1,1,1,1,1,1
Pork Dishes,Longganisa,Emilla's,65,426,12.3,51,21.4,0.6,5.1,322,0,0,1,1,1,1,1,1,1
Pork Dishes,Hotdog,Emilla's,65,356,10.3,47,17.4,0.6,1.1,482,0,0,1,1,1,1,1,1,1
Pork Dishes,Sweet & Sour Meatballs,Emilla's,65,456,19.3,60,19.4,2.6,8.1,702,1,1,1,1,1,1,1,1,1
Pork Dishes,Siomai,Emilla's,65,286,10.3,48,9.4,0.6,1.1,182,0,0,1,1,0,1,1,0,0
Pork Dishes,Emillia's Hickory Pork Belly,Emilla's,135,606,29.3,50,34.4,0.6,4.1,902,1,1,1,1,1,1,1,1,1
Chicken Dishes,Emillia's Hickory Chicken,Emilla's,165,556,32.3,50,24.4,0.6,3.1,802,1,1,1,1,1,1,1,1,1
Mixed Dishes,Grilled Fries,Grilled's,95,356,6.3,65,11.4,2.6,1.1,302,1,1,1,1,1,1,1,1,1
Pork Dishes,Bagnet Kare-kare,Grilled's,95,806,29.3,85,44.4,3.6,6.1,1002,1,0,0,1,1,1,1,1,0
Beef Dishes,Garlic Pepper Beef,Grilled's,95,556,29.3,55,24.4,1.6,2.1,702,1,1,1,1,1,1,1,1,1
